Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
100,1996,103.165877293737,196.332400955894,113,93,47,7,19,9,729.254233483697,301.402704448394,20.9295355881069
100,1997,74.7412398596348,208.340036840218,114,96,51,10,43,15,605.548994803773,278.274818459135,21.5111158995458
100,1998,74.501568911371,152.78415658473,123,90,32,1,28,10,119.975256708331,74.501568911371,16.3629201661932
100,1999,48.4362173616608,136.641540693783,144,103,38,0,18,15,135.346543887513,0,15.9743698984621
100,2000,101.788353019009,156.734359230572,141,91,32,1,30,13,426.60902438084,101.788353019009,14.9297026825639
100,2001,78.2497984376319,161.345726390011,142,92,36,1,26,15,165.018998027774,78.2497984376319,14.7671479917768
100,2002,53.6197342576729,132.314372433576,148,100,28,1,25,23,53.6197342576729,0,13.5046960380057
100,2003,47.4504481731501,104.239157873951,134,94,36,0,20,12,182.705080325943,0,15.538237625967
100,2004,64.6309650197219,171.945839993807,132,90,42,5,28,14,551.451563984952,64.6309650197219,17.0202685924021
100,2005,63.0542490706395,122.778082690932,141,103,43,3,30,13,342.906574788878,63.0542490706395,16.5495472601795
100,2006,56.2767323325446,161.924555434247,163,106,39,5,23,41,320.420045607992,0,14.9776389802678
100,2007,118.724948487268,211.156816844635,143,100,40,4,27,19,336.812625639133,182.797724650151,16.0082542282068
100,2008,84.7533820182711,244.574049226697,146,107,38,3,12,20,324.173128892623,84.7533820182711,15.5171693232226
100,2009,57.0171619977019,160.347271442565,145,101,43,2,28,14,149.924789744509,0,16.1314455669121
100,2010,54.1362333842767,167.613156913267,165,121,53,1,28,15,188.30055076476,0,17.0924924687969
100,2011,108.817465533274,230.781516106416,159,111,52,3,15,21,242.758056079384,186.544218757695,16.6890183271411
100,2012,84.6251944981808,235.990139070215,142,89,32,3,15,38,473.002977337869,149.085855244628,15.0468199408724
100,2013,80.9503705577509,162.698563704233,157,103,33,4,25,13,407.239600386703,156.664107204391,14.9379388822584
100,2014,67.3171286736747,239.632808383886,158,106,48,3,20,18,395.460568581282,67.3171286736747,16.3884643883761
100,2015,59.5959477315001,116.167674535146,162,101,27,2,20,30,109.676919696606,0,13.9920126981151
100,2016,78.1508666004983,258.022020146296,102,62,14,3,20,18,210.687505643439,210.687505643439,12.7051478106693
100,2017,101.105843180736,159.431601487723,158,99,30,1,19,19,196.42655543913,101.105843180736,14.2279450558443
100,2018,35.3614111393522,124.526419183646,170,104,29,0,25,27,0,0,11.9963192130343
100,2019,46.7261075747212,133.562051081785,163,100,40,0,14,32,139.087573113878,0,13.1460867226588
100,2020,40.2177564269395,130.204822507013,145,87,23,0,27,17,0,0,11.4222958280144
